Number,Species,Part,weight,notes,"legend: s = scanned individual, rem = remaining individuals"
1,SILTER3,rem roots,1.8449,,
2,SILTER3,rem leaves,0.8925,,
3,SILTER3,s leaves,0.1324,,
4,SILTER3,s axial roots,0.8339,,
5,SILTER3,s stems,0.0186,,
6,SILTER3,s lateral roots,0.1056,,
7,SILTER5,s lateral roots,0.1465,,
8,SILTER5,s axial roots,0.7111,,
9,SILTER5,s leaves,0.425,,
10,SILTER5,rem leaves,0.6104,,
11,SILTER5,rem roots,1.6488,,
12,SILTER4,rem leaves,0.3233,,
13,SILTER4,rem roots,0.9993,,
14,SILTER4,s axial roots,1.8125,,
15,SILTER4,s leaves,0.3604,,
16,SILTER4,s lateral roots,0.2344,,
17,SILTER1,rem roots,1.5662,,
18,SILTER1,s axial roots,1.1206,,
19,SILTER1,s leaves,1.322,,
20,SILTER1,rem leaves,0.1876,,
21,SILTER1,s lateral roots,0.3175,,
22,SILLAC4,s axial roots,0.627,,
23,SILLAC4,rem leaves,0.6894,,
24,SILLAC4,rem leaves,3.0553,,
25,SILLAC4,s lateral roots,0.0883,25a = s leaves,
26,SILLAC5,s axial roots,1.3119,,
27,SILLAC5,s leaves,0.3697,,
28,SILLAC5,s lateral roots,0.2731,,
29,SILLAC5,rem leaves,0.624,,
30,SILLAC5,rem roots,1.5508,,
31,PHYVIR4,rem roots,2.2391,,
32,PHYVIR4,rem leaves,2.0631,,
33,PHYVIR4,rem stems,0.3666,,
34,PHYVIR4,s leaves,0.3916,,
35,PHYVIR4,s roots,0.2262,,
36,PHYVIR4,rem rhizomes,0.2884,,
37,PHYVIR4,rem flowers,0.3814,,
38,PHYVIR4,s stems,0.115,,
39,PHYVIR4,s rhizomes,0.0771,,
40,ASCTUB4,s flowers,0.1238,,
41,ASCTUB4,s lateral roots,0.1298,,
42,ASCTUB4,s stems,0.4151,,
43,ASCTUB4,s axial roots,0.2586,,
44,ASCTUB4,s leaves,0.6071,,
45,ASCTUB4,rem roots,2.1851,,
46,ASCTUB4,rem leaves,2.2212,,
47,ASCTUB4,rem stems,1.5972,,
48,ASCTUB4,rem flowers,0.16,,
49,CHAFAS4,s lateral roots,0.2063,,
50,CHAFAS4,s flowers,0.5329,,
51,CHAFAS4,s axial roots,0.0843,,
52,CHAFAS4,s leaves,0.6753,,
53,CHAFAS4,s stems,0.6261,,
54,CHAFAS4,rem roots,0.4502,,
55,CHAFAS4,rem flowers,0.3461,,
56,CHAFAS4,rem leaves,0.5729,,
57,CHAFAS4,rem stems,0.6253,,
,,,,,
58,ASCSUL4,s leaves,0.1918,,
59,ASCSUL4,s lateral roots,0.0967,,
60,ASCSUL4,s stems,0.1007,,
61,ASCSUL4,s axial roots,0.3145,,
62,ASCSUL4,rem roots,2.0126,,
63,ASCSUL4,rem leaves,0.83,,
64,ASCSUL4,rem stems,0.5822,,
,,,,,
65,ASCSYR4,s lateral roots,1.1266,,
66,ASCSYR4,s axial roots,1.1659,,
67,ASCSYR4,s stems,0.8021,,
68,ASCSYR4,s leaves,1.4026,,
69,ASCSYR4,rem stems,0.8395,,
70,ASCSYR4,rem roots,2.255,,
71,ASCSYR4,rem leaves,1.6186,,
,,,,,
72,HELMOL4,s leaves,0.4144,,
73,HELMOL4,s stems,0.1607,,
74,HELMOL4,s rhizomes,0.0039,,
75,HELMOL4,s roots,0.1386,part 1,
76,HELMOL4,s roots,0.3206,part 2,
77,HELMOL4,rem rhizomes,0.0754,,
78,HELMOL4,rem leaves,0.867,,
79,HELMOL4,rem stems,0.3821,,
,,,,,
80,ANDGER4,s leaves,0.9678,,
81,ANDGER4,s roots,0.7316,,
82,ANDGER4,rem leaves,6.381,,
83,ANDGER4,rem roots,3.8135,,
,,,,,
84,ASCVER4,s leaves,0.2781,,
85,ASCVER4,s roots,0.4352,,
86,ASCVER4,s stems,0.2345,,
87,ASCVER4,rem leaves,2.2132,,
88,ASCVER4,rem stems,1.7659,,
89,ASCVER4,rem roots,3.5252,,
,,,,,
90,ELYCAN4,s roots,0.153,,
91,ELYCAN4,s leaves,0.6241,,
92,ELYCAN4,rem roots,1.2467,,
93,ELYCAN4,rem leaves,4.8672,,
,,,,,
94,BAPALB4,s leaves,0.1956,,
95,BAPALB4,s lateral roots,0.0716,,
96,BAPALB4,s axial roots,0.4003,,
97,BAPALB4,s stems,0.0864,,
98,BAPALB4,rem leaves,0.2453,,
99,BAPALB4,rem rhizomes,0.0052,,
100,BAPALB4,rem roots,0.2564,,
101,BAPALB4,rem stems,0.1963,,
,,,,,
102,BAPBRA4,s roots,0.029,only 1/2 of scan roots,
103,BAPBRA4,s stems,0.0172,,
104,BAPBRA4,s leaves,0.0597,,
,,,,,
105,SENMAR4,s roots,0.0031,,
106,SENMAR4,s stems,0.006,,
107,SENMAR4,s leaves,0.0248,,
,,,,,
108,RUDFUL4,s roots,0.4655,,
109,RUDFUL4,s leaves,1.074,,
110,RUDFUL4,rem leaves,1.822,,
111,RUDFUL4,rem roots,0.4699,,
,,,,,
112,AGASCR4,s leaves,0.3037,,
113,AGASCR4,s flowers,0.0733,,
114,AGASCR4,s roots,0.5919,,
115,AGASCR4,s stems,0.5637,,
116,AGASCR4,rem flowers,0.7427,,
117,AGASCR4,rem stems,1.695,,
118,AGASCR4,rem roots,1.3401,,
119,AGASCR4,rem leaves,2.3957,,
,,,,,
120,ANECYL4,s roots,0.4171,,
121,ANECYL4,s leaves,0.6368,,
122,ANECYL4,rem leaves,2.0217,,
123,ANECYL4,rem roots,0.9154,,
,,,,,
124,BLECIL4,s roots,0.2157,,
125,BLECIL4,s leaves,1.3705,,
126,BLECIL4,s stems,0.3717,,
127,BLECIL4,rem roots,1.4835,,
128,BLECIL4,rem leaves,4.0959,,
129,BLECIL4,rem stems,1.4438,,
,,,,,
130,ANEVIR4,s roots,0.4277,,
131,ANEVIR4,s leaves,0.8349,,
132,ANEVIR4,rem roots,2.8419,,
133,ANEVIR4,rem leaves,5.4807,,
,,,,,
134,BRIEUP4,s axial roots,0.3093,,
135,BRIEUP4,s lateral roots,0.0634,,
136,BRIEUP4,s stems,0.3278,,
137,BRIEUP4,s leaves,0.1937,,
138,BRIEUP4,s flowers,0.0775,,
139,BRIEUP4,rem roots,0.5842,,
140,BRIEUP4,rem stems,1.2791,,
141,BRIEUP4,rem leaves,1.5081,,
,,,,,
142,ECHPAL4,s axial roots,0.728,,
143,ECHPAL4,s lateral roots,0.2773,,
144,ECHPAL4,s leaves,2.8235,,
145,ECHPAL4,rem roots,2.301,,
146,ECHPAL4,rem leaves,5.1769,,
,,,,,
147,ERYYUC4,s roots,0.9359,,
148,ERYYUC4,s leaves,0.9447,,
149,ERYYUC4,rem roots,2.3952,,
150,ERYYUC4,rem leaves,3.8991,,
,,,,,
151,EUPCOR4,rem roots,3.3414,,
152,EUPCOR4,rem stems,0.3364,rem leaves too,
153,EUPCOR4,s roots,1.3275,,
154,EUPCOR4,s leaves,0.2009,,
,,,,,
155,HEURIC4,rem leaves,0.3253,,
156,HEURIC4,s axial roots,0.4628,,
157,HEURIC4,s leaves,1.5714,,
158,HEURIC4,s lateral roots,0.2237,,
,,,,,
159,HYPPUN4,s roots,0.2724,,
160,HYPPUN4,s green leaves,0.1595,,
161,HYPPUN4,s dead leaves,0.4393,,
162,HYPPUN4,s stems,0.3462,,
163,HYPPUN4,s flowers,0.1483,,
164,HYPPUN4,rem roots,0.6455,,
165,HYPPUN4,rem leaves,1.9453,,
166,HYPPUN4,rem stems,0.7683,,
,,,,,
167,MONFIS4,s roots,0.6039,,
168,MONFIS4,s green leaves,0.2558,,
169,MONFIS4,s dead leaves,0.2769,,
170,MONFIS4,s stems,0.6386,,
171,MONFIS4,rem roots,1.2471,,
172,MONFIS4,rem leaves,1.9354,,
173,MONFIS4,rem stems,1.9475,,
,,,,,
174,PENHIR4,s roots,0.5471,,
175,PENHIR4,s leaves,1.3494,,
176,PENHIR4,s stems,0.1045,,
177,PENHIR4,rem stems,0.1708,,
178,PENHIR4,rem roots,0.6556,,
179,PENHIR4,rem leaves,3.1407,,
,,,,,
180,PENDIG4,s roots,0.6643,,
181,PENDIG4,s leaves,1.8721,,
182,PENDIG4,rem roots,0.5617,,
183,PENDIG4,rem leaves,3.5655,,
,,,,,
184,HYPPYR5,s lateral roots,0.573,,
185,HYPPYR5,s axial roots,0.3342,,
186,HYPPYR5,s stems,0.3847,,
187,HYPPYR5,s leaves,0.6747,,
188,HYPPYR5,rem roots,1.9878,,
189,HYPPYR5,rem stems,1.2671,,
190,HYPPYR5,rem leaves,2.0867,,
,,,,,
191,PARINT5,s axial roots,0.8602,,
192,PARINT5,s lateral roots,0.3854,,
193,PARINT5,s leaves,0.6119,,
194,PARINT5,rem roots,2.6634,,
195,PARINT5,rem leaves,3.1209,,
,,,,,
196,PHLPIL4,s roots,0.3273,,
197,PHLPIL4,s stems,0.1646,,
198,PHLPIL4,s leaves,0.6849,,
199,PHLPIL4,rem roots,0.4798,,
200,PHLPIL4,rem leaves,2.1707,,
201,PHLPIL4,rem stems,0.6506,,
,,,,,
202,SPIALB4,s axial roots,0.0914,,
203,SPIALB4,s lateral roots,0.1284,,
204,SPIALB4,s stems,0.0029,,
205,SPIALB4,s green leaves,0.1187,,
206,SPIALB4,s dead leaves,0.0325,,
207,SPIALB4,rem roots,0.8901,,
208,SPIALB4,rem stems,1.2519,,
209,SPIALB4,rem leaves,1.2454,,
,,,,,
210,VERVIR4,s roots,1.0455,,
211,VERVIR4,s stems,0.5993,,
212,VERVIR4,s leaves,1.456,,
213,VERVIR4,rem roots,0.6765,,
214,VERVIR4,rem stems,0.9271,,
215,VERVIR4,rem leaves,2.423,,
,,,,,
216,POLREP5,s roots,2.1087,,
217,POLREP5,s leaves,4.4971,,
218,POLREP5,s stems,2.6082,,
219,POLREP5,rem roots,0.0815,,
220,POLREP5,rem stems,0.1069,,
221,POLREP5,rem leaves,0.209,,
,,,,,
222,VERSTR4,s axial roots,0.3113,,
223,VERSTR4,s lateral roots,0.678,,
224,VERSTR4,s stems,0.6473,,
225,VERSTR4,s green leaves,1.1976,,
226,VERSTR4,s dead leaves,0.0786,,
227,VERSTR4,rem roots,2.2718,,
228,VERSTR4,rem leaves,4.2422,,
229,VERSTR4,rem stems,2.2686,,
,,,,,
230,ALLCAN4,s roots,0.0024,,
231,ALLCAN4,s bulb,0.0482,,
,,,,,
232,ALLCER4,s roots,0.0469,,
233,ALLCER4,s bulb,0.1031,,
234,ALLCER4,s leaves,0.2511,,
,,,,,
235,ZIZAPT4,s axial roots,0.3949,,
236,ZIZAPT4,s lateral roots,0.7762,,
237,ZIZAPT4,s leaves,1.6832,,
238,ZIZAPT4,rem roots,0.1506,,
239,ZIZAPT4,rem leaves,0.9336,,
,,,,,
240,CXANNE4,s roots,0.2269,,
241,CXANNE4,s green leaves,0.1978,,
242,CXANNE4,s dead leaves,0.7662,,
243,CXANNE4,s nubs,0.1375,,
244,CXANNE4,rem roots,0.3207,,
245,CXANNE4,rem nubs,0.2349,,
,,,,,
246,CAMROT4,s axial roots,0.0186,,
247,CAMROT4,s lateral roots,0.0335,,
248,CAMROT4,s nubs,0.0171,,
249,CAMROT4,s leaves,0.3525,,
250,CAMROT4,rem roots,0.2833,,
251,CAMROT4,rem leaves,1.552,,
,,,,,
252,CXGRAV4,s roots,0.6331,,
253,CXGRAV4,s nubs,0.0522,,
254,CXGRAV4,s green leaves,0.6311,,
255,CXGRAV4,s dead leaves,1.3302,,
256,CXGRAV4,rem roots,1.8764,,
257,CXGRAV4,rem nubs,0.3476,,
258,CXGRAV4,rem leaves,5.7897,,
,,,,,
259,CXBICK4,s roots,0.3168,,
260,CXBICK4,s green leaves,0.3076,,
261,CXBICK4,s dead leaves,0.8343,,
262,CXBICK4,s nubs,0.0661,,
263,CXBICK4,rem roots,2.1944,,
264,CXBICK4,rem leaves,7.6218,,
265,CXBICK4,rem nubs,0.5857,,
,,,,,
266,CXBREV4,s roots,0.54,,
267,CXBREV4,s green leaves,0.7823,,
268,CXBREV4,s dead leaves,0.4542,,
269,CXBREV4,s nubs,0.0891,,
270,CXBREV4,rem roots,0.5695,,
271,CXBREV4,rem nubs,0.1232,,
272,CXBREV4,rem leaves,1.9716,,
,,,,,
273,CXMOLE4,s roots,0.7245,,
274,CXMOLE4,s roots,0.3526,"unscanned, extra roots",
275,CXMOLE4,s nubs,0.3188,,
276,CXMOLE4,s green leaves,0.49,,
277,CXMOLE4,s dead leaves,3.373,,
278,CXMOLE4,rem roots,0.5423,,
279,CXMOLE4,rem nubs,0.2584,,
280,CXMOLE4,rem leaves,3.2264,,
,,,,,
281,HELAUT4,s roots,0.1573,,
282,HELAUT4,s leaves,0.1731,,
283,HELAUT4,s stems,0.0249,,
284,HELAUT4,rem roots,0.3731,,
285,HELAUT4,rem stems,0.0148,,
286,HELAUT4,rem leaves,0.4196,,
287,HELAUT4,rem roots,3.1716,had weeds,
,,,,,
288,TRAOHI4,s roots,0.0133,,
289,TRAOHI4,s leaves,0.0372,,
290,TRAOHI4,rem roots,0.0006,,
291,TRAOHI4,rem leaves,0.0511,,
,,,,,
292,AGANEP4,s roots,0.916,,
293,AGANEP4,s green leaves,0.9203,,
294,AGANEP4,s dead leaves,1.235,,
295,AGANEP4,s stems,0.7323,,
296,AGANEP4,s flowers,0.1337,,
297,AGANEP4,rem roots,0.2006,,
298,AGANEP4,rem leaves,1.7442,,
299,AGANEP4,rem stems,1.3415,,
300,AGANEP4,rem flowers,0.8349,,
,,,,,
301,POTARG4,s roots,0.9675,,
302,POTARG4,s green leaves,0.6632,,
303,POTARG4,s dead leaves,0.2559,,
304,POTARG4,rem roots,0.0424,,
305,POTARG4,rem leaves,2.6935,,
,,,,,
306,PYCPIL4,s roots,0.5111,,
307,PYCPIL4,s green leaves,0.1795,,
308,PYCPIL4,s dead leaves,0.1555,,
309,PYCPIL4,s rhizomes,0.0063,,
310,PYCPIL4,s stems,0.3496,,
311,PYCPIL4,rem roots,1.1085,,
312,PYCPIL4,rem leaves,1.592,,
313,PYCPIL4,rem rhizomes,0.0152,,
314,PYCPIL4,rem stems,2.0542,,
,,,,,
315,TEUCAN4,s roots,0.1208,,
316,TEUCAN4,s rhizomes,1.887,,
317,TEUCAN4,s stems,0.5385,,
318,TEUCAN4,s leaves,0.453,,
319,TEUCAN4,myco rhizomes,2.161,,
320,TEUCAN4,rem rhizomes,0.9766,,
321,TEUCAN4,rem roots,0.067,,
322,TEUCAN4,rem stems,0.8621,,
323,TEUCAN4,rem leaves,1.062,,
,,,,,
324,VIOPED2,s roots,0.7615,,
325,VIOPED2,s leaves,0.7374,,
326,VIOPED2,s flowers,0.2257,,
,,,,,
327,PYCVIR4,s roots,0.5672,,
328,PYCVIR4,s green leaves,0.5214,,
329,PYCVIR4,s dead leaves,0.2917,,
330,PYCVIR4,s rhizomes,0.0596,,
331,PYCVIR4,s stems,0.5585,,
332,PYCVIR4,rem roots,1.7235,,
333,PYCVIR4,rem leaves,2.167,,
334,PYCVIR4,rem rhizomes,0.0768,,
335,PYCVIR4,rem stems,2.0635,,
,,,,,
336,PYCTEN4,s roots,0.4372,,
337,PYCTEN4,s rhizomes,0.0098,,
338,PYCTEN4,s stems,0.3414,,
339,PYCTEN4,s green leaves,0.1491,,
340,PYCTEN4,s dead leaves,0.3199,,
341,PYCTEN4,rem roots,1.182,,
342,PYCTEN4,rem rhizomes,0.1881,,
343,PYCTEN4,rem stems,1.7954,,
344,PYCTEN4,rem leaves,0.4353,,
,,,,,
345,AMOCAN4,s axial roots,1.1706,,
346,AMOCAN4,s lateral roots,0.4565,,
347,AMOCAN4,s stems,0.1406,,
348,AMOCAN4,s leaves,0.3068,,
349,AMOCAN4,rem roots,1.2825,,
350,AMOCAN4,rem stems,0.129,,
351,AMOCAN4,rem leaves,0.3286,,
,,,,,
352,ASTCAN4,s axial roots,0.1689,,
353,ASTCAN4,s lateral roots,0.1972,,
354,ASTCAN4,s stems,0.1414,,
355,ASTCAN4,s leaves,0.4101,,
356,ASTCAN4,rem roots,0.0547,,
357,ASTCAN4,rem stems,0.5805,,
358,ASTCAN4,rem leaves,0.4495,,
,,,,,
359,CEAAME4,s axial roots,2.5231,,
360,CEAAME4,s lateral roots,0.6027,,
361,CEAAME4,s stems,0.3402,,
362,CEAAME4,s leaves,1.2518,,
363,CEAAME4,rem stems,0.0606,,
364,CEAAME4,rem leaves,0.3104,,
,,,,,
365,DALCAN4,s axial roots,0.359,,
366,DALCAN4,s lateral roots,0.1237,,
367,DALCAN4,s stems,0.1377,,
368,DALCAN4,s green leaves,0.109,,
369,DALCAN4,s dead leaves,0.0918,,
370,DALCAN4,rem roots,2.5168,,
371,DALCAN4,rem stems,0.7069,,
372,DALCAN4,rem leaves,0.1543,,
,,,,,
373,DALPUR4,s axial roots,0.2261,,
374,DALPUR4,s lateral roots,0.1239,,
375,DALPUR4,s leaves,0.0315,,
376,DALPUR4,s stems,0.0554,,
377,DALPUR4,rem roots,3.0006,,
378,DALPUR4,rem stems,1.112,,
379,DALPUR4,rem leaves,0.7126,,
,,,,,
380,DESILL4,s axial roots,0.703,,
381,DESILL4,s lateral roots,0.5531,,
382,DESILL4,s stems,0.576,,
383,DESILL4,s leaves,0.5387,,
384,DESILL4,rem roots,1.3635,,
385,DESILL4,rem stems,1.48,,
386,DESILL4,rem leaves,1.56,,
387,DESILL4,rem seed pods,0.5198,,
,,,,,
388,DSMILL5,s axial roots,0.6046,,
389,DSMILL5,s lateral roots,0.2685,,
390,DSMILL5,s stems,0.145,,
391,DSMILL5,s leaves,0.1735,,
392,DSMILL5,rem roots,3.6992,,
393,DSMILL5,rem nodules,0.0052,,
394,DSMILL5,rem stems,0.9368,,
395,DSMILL5,rem leaves,0.8332,,
,,,,,
396,DESCAN5,s axial roots,1.2726,,
397,DESCAN5,s lateral roots,0.3886,,
398,DESCAN5,s stems,0.3699,,
399,DESCAN5,s leaves,0.3213,,
400,DESCAN5,rem roots,4.862,,
401,DESCAN5,rem stems,1.5708,,
402,DESCAN5,rem leaves,1.6622,,
,,,,,
403,LESCAP4,s axial roots,0.298,,
404,LESCAP4,s lateral roots,0.6286,,
405,LESCAP4,s stems,0.2352,,
406,LESCAP4,s leaves,0.354,,
407,LESCAP4,rem roots,3.339,,
408,LESCAP4,rem stems,0.943,,
409,LESCAP4,rem leaves,1.4204,,
410,LESCAP4,rem flowers,0.0143,,
,,,,,
411,ANECAN4,s roots,1.3601,,
412,ANECAN4,s stems,1.3395,,
413,ANECAN4,s leaves,7.0918,,
,,,,,
414,SENHEB4,s axial roots,0.4452,,
415,SENHEB4,s lateral roots,0.8803,,
416,SENHEB4,s stems,0.406,,
417,SENHEB4,s leaves,0.1073,,
418,SENHEB4,rem roots,1.792,,
419,SENHEB4,rem stems,0.8486,,
420,SENHEB4,rem leaves,1.3834,,
,,,,,
421,ARNPLA4,s axial roots,3.0501,,
422,ARNPLA4,s lateral roots,0.6842,,
423,ARNPLA4,s green leaves,3.3648,,
424,ARNPLA4,s dead leaves,0.0927,,
,,,,,
425,BOUCUR4,s roots,0.3523,,
426,BOUCUR4,s green leaves,0.6553,,
427,BOUCUR4,s dead leaves,0.9819,,
428,BOUCUR4,rem roots,2.9808,,
429,BOUCUR4,rem leaves,12.6999,,
,,,,,
430,BROKAL4,s roots,0.1598,,
431,BROKAL4,s rhizomes,0.0061,,
432,BROKAL4,s green leaves,0.3846,,
433,BROKAL4,s dead leaves,0.4389,,
