Name,Species
AGANEP3,Agastache nepetoides
AGANEP4,Agastache nepetoides
AGASCR3,Agastache scrophulariifolia
AGASCR4,Agastache scrophulariifolia
ALLCAN2,Allium canadense
ALLCAN4,Allium canadense
ALLCER3,Allium cernuum
ALLCER4,Allium cernuum
AMOCAN3,Amorpha canescens
AMOCAN4,Amorpha canescens
ANDGER3,Andropogon gerardii
ANDGER4,Andropogon gerardii
ANECAN3,Anemone canadensis
ANECAN4,Anemone canadensis
ANECYL3,Anemone cylindrica
ANECYL4,Anemone cylindrica
ANEVIR3,Anemone virginiana
ANEVIR4,Anemone virginiana
ARNPLA1,Arnoglossum plantagineum
ARNPLA4,Arnoglossum plantagineum
ASCSUL3,Asclepias sullivantii
ASCSUL4,Asclepias sullivantii
ASCSYR3,Asclepias syriaca
ASCSYR4,Asclepias syriaca
ASCTUB3,Asclepias tuberosa
ASCTUB4,Asclepias tuberosa
ASCVER3,Asclepias verticillata
ASCVER4,Asclepias verticillata
ASTCAN1,Astragalus canadensis
ASTCAN4,Astragalus canadensis
BAPALB1,Baptisia alba
BAPALB4,Baptisia alba
BAPBRA1,Baptisia bracteata
BAPBRA4,Baptisia bracteata
BLECIL3,Blephilia ciliata
BLECIL4,Blephilia ciliata
BOUCUR3,Bouteloua curtipendula
BOUCUR4,Bouteloua curtipendula
BRIEUP3,Brickellia eupatorioides
BRIEUP4,Brickellia eupatorioides
BROKAL3,Bromus kalmii
BROKAL4,Bromus kalmii
CAMROT3,Campanula rotundifolia
CAMROT4,Campanula rotundifolia
CEAAME3,Ceanothus americanus
CEAAME4,Ceanothus americanus
CHAFAS1,Chamaecrista fasciculata
CHAFAS4,Chamaecrista fasciculata
CORPAL3,Coreopsis palmata
CORPAL4,Coreopsis palmata
CXANNE3,Carex annectens
CXANNE4,Carex annectens
CXBICK3,Carex bicknellii
CXBICK4,Carex bicknellii
CXBREV3,Carex brevior
CXBREV4,Carex brevior
CXGRAV3,Carex gravida
CXGRAV4,Carex gravida
CXMOLE3,Carex molesta
CXMOLE4,Carex molesta
CXNORM3,Carex normalis
DALCAN3,Dalea candida
DALCAN4,Dalea candida
DALPUR3,Dalea purpurea
DALPUR4,Dalea purpurea
DESCAN1,Desmodium canadense
DESCAN5,Desmodium canadense
DESILL1,Desmodium illinoense
DESILL4,Desmodium illinoense
DSMILL1,Desmanthus illinoensis
DSMILL5,Desmanthus illinoensis
ECHPAL3,Echinacea pallida
ECHPAL4,Echinacea pallida
ECHPUR3,Echinacea purpurea
ECHPUR4,Echinacea purpurea
ELYCAN3,Elymus canadensis
ELYCAN4,Elymus canadensis
ERASPE3,Eragrostis spectabilis
ERASPE4,Eragrostis spectabilis
ERYYUC3,Eryngium yuccifolium
ERYYUC4,Eryngium yuccifolium
EUPALT3,Eupatorium altissimum
EUPALT4,Eupatorium altissimum
EUPCOR3,Euphorbia corollata
EUPCOR4,Euphorbia corollata
EUTGRA3,Euthamia graminifolia
EUTGRA5,Euthamia graminifolia
HELAUT3,Helenium autumnale
HELAUT4,Helenium autumnale
HELHEL3,Heliopsis helianthoides
HELHEL4,Heliopsis helianthoides
HELMOL1,Helianthus mollis
HELMOL4,Helianthus mollis
HELOCC1,Helianthus occidentalis
HELOCC5,Helianthus occidentalis
HELPAU1,Helianthus pauciflorus
HELPAU4,Helianthus pauciflorus
HELSTR3,Helianthus strumosus
HELSTR4,Helianthus strumosus
HEURIC3,Heuchera richardsonii
HEURIC4,Heuchera richardsonii
HIEODO3,Hierochloe odorata
HIEODO4,Hierochloe odorata
HYPPUN3,Hypericum punctatum
HYPPUN4,Hypericum punctatum
HYPPYR1,Hypericum pyramidatum
HYPPYR5,Hypericum pyramidatum
KOEPYR3,Koeleria pyramidata
KOEPYR4,Koeleria pyramidata
LESCAP3,Lespedeza capitata
LESCAP4,Lespedeza capitata
LIAASP2,Liatris aspera
LIAASP4,Liatris aspera
LIAPYC3,Liatris pycnostachya
LIAPYC4,Liatris pycnostachya
LIASCN2,Liatris scariosa
LIASCN4,Liatris scariosa
LIASPI1,Liatris spicata
LIASPI4,Liatris spicata
MONFIS1,Monarda fistulosa
MONFIS4,Monarda fistulosa
OLIRIG1,Oligoneuron rigidum
OLIRIG4,Oligoneuron rigidum
PANVIR3,Panicum virgatum
PANVIR5,Panicum virgatum
PARINT3,Parthenium integrifolium
PARINT5,Parthenium integrifolium
PENDIG3,Penstemon digitalis
PENDIG4,Penstemon digitalis
PENHIR1,Penstemon hirsutus
PENHIR4,Penstemon hirsutus
PHLPIL1,Phlox pilosa
PHLPIL4,Phlox pilosa
PHYVIR3,Physostegia virginiana
PHYVIR4,Physostegia virginiana
POLREP3,Polemonium reptans
POLREP5,Polemonium reptans
POTARG3,Potentilla arguta
POTARG4,Potentilla arguta
PYCPIL3,Pycnanthemum pilosa
PYCPIL4,Pycnanthemum pilosa
PYCTEN3,Pycnanthemum tenuifolium
PYCTEN4,Pycnanthemum tenuifolium
PYCVIR3,Pycnanthemum virginianum
PYCVIR4,Pycnanthemum virginianum
RATPIN1,Ratibida pinnata
RATPIN4,Ratibida pinnata
RUDFUL3,Rudbeckia fulgida
RUDFUL4,Rudbeckia fulgida
RUDHIR1,Rudbeckia hirta
RUDHIR3,Rudbeckia hirta
RUDSUB3,Rudbeckia subtomentosa
RUDSUB4,Rudbeckia submentosa
RUDTRI3,Rudbeckia triloba
RUDTRI5,Rudbeckia triloba
SCHSCO1,Schizachyrium scoparium
SCHSCO4,Schizachyrium scoparium
SENHEB3,Senna hebecarpa
SENHEB4,Senna hebecarpa
SENMAR1,Senna marilandica
SENMAR4,Senna marilandica
SILINT3,Silphium integrifolium
SILINT4,Silphium integrifolium
SILLAC3,Silphium laciniatum
SILLAC4,Silphium laciniatum
SILLAC5,Silphium laciniatum
SILTER1,SIlphium terebinthinaceum
SILTER3,Silphium terebinthinaceum
SILTER4,Silphium terebinthinaceum
SILTER5,Silphium terebinthinaceum
SOLJUN3,Solidago juncea
SOLJUN5,Solidago juncea
SOLNEM3,Solidago nemoralis
SOLNEM4,Solidago nemoralis
SOLSPE3,Solidago speciosa
SOLSPE4,Solidago speciosa
SORNUT3,Sorghastrum nutans
SORNUT4,Sorghastrum nutans
SPIALB3,Spiraea alba
SPIALB4,Spiraea alba
SPOHET3,Sporobolus heterolepis
SPOHET4,Sporobolus heterolepis
SYMERI1,Symphyotrichum ericoides
SYMERI4,Symphyotrichum ericoides
SYMLAE1,Symphyotrichum laeve
SYMLAE4,Symphyotrichum laeve
SYMNOV3,Symphyotrichum novae-angliae
SYMNOV5,Symphyotrichum novae-angliae
SYMSER3,Symphyotrichum sericeum
SYMSER4,Symphyotrichum sericeum
TEUCAN3,Teucrium canadense
TEUCAN4,Teucrium canadense
THADAS4,Thalictrum dasycarpum
THADAS5,Thalictrum dasycarpum
TRAOHI3,Tradescantia ohiensis
TRAOHI4,Tradescantia ohiensis
VERFAS1,Vernonia fasciculata
VERFAS4-A,Vernonia fasciculata
VERFAS4-B,Vernonia fasciculata
VERGIG3,Vernonia gigantea
VERMIS3,Vernonia missurica
VERMIS5,Vernonia missurica
VERSTR3,Verbena stricta
VERSTR4,Verbena stricta
VERVIR3,Veronicastrum virginicum
VERVIR4,Veronicastrum virginicum
VIOPED2,Viola pedatifida
ZIZAPT1,Zizia aptera
ZIZAPT4,Zizia aptera
